day,real_deaths,real_deaths_d,S_seitd,E_seitd,I_seitd,T_seitd,D_seitd,D_d_seitd,S_seeiitd,E_seeiitd,I_seeiitd,T_seeiitd,D_seeiitd,D_d_seeiitd
2020-02-25,0,0,210147000,201.8865,48.242,0.0844662,0.00183343,0.00183343,210147000,343.014,32.369595,0.0100243185,5.46732e-6,5.46732e-6
2020-02-26,0,0,210147000,360.74850000000004,121.34049999999999,0.35873750000000004,0.014417099999999999,0.012583669999999998,210146000,626.7415,120.6465,0.113589815,2.52073e-4,2.4660568e-4
2020-02-27,0,0,210146000,490.12350000000004,204.8505,0.8673135000000001,0.05104515,0.036628049999999995,210146000,850.259,253.04944999999998,0.45551875,0.0022553800000000004,0.002003307
2020-02-28,0,0,210146000,597.654,290.86400000000003,1.61476,0.126119,0.07507385000000001,210146000,1034.016,407.57749999999993,1.1692280000000002,0.0103628,0.00810742
2020-02-29,0,0,210146000,690.915,376.5485,2.5900600000000003,0.2547585,0.1286395,210145000,1187.0075000000002,567.9525,2.3369765,0.032829899999999995,0.022467099999999997
2020-03-01,0,0,210145000,778.4110000000001,458.88,3.770785,0.4498775,0.195119,210145000,1327.0594999999998,726.9014999999999,3.981146,0.08191419999999999,0.0490843
2020-03-02,0,0,210145000,867.0995,537.5245,5.145845,0.722415,0.27253750000000004,210144000,1473.0214999999998,877.289,6.078624,0.1737475,0.0918333
2020-03-03,0,0,210145000,959.2175,615.7774999999999,6.6707,1.086995,0.3645799999999999,210144000,1627.0875,1020.622,8.60098,0.326305,0.1525575
2020-03-04,0,0,210144000,1054.2649999999999,696.41,8.372235,1.547795,0.4608000000000001,210143000,1808.4625,1164.7359999999999,11.51081,0.5594105,0.23310550000000002
2020-03-05,0,0,210144000,1162.21,780.3499999999999,10.2196,2.121225,0.5734299999999999,210142000,2019.9479999999999,1314.8485,14.826500000000001,0.8952725,0.335862
2020-03-06,0,0,210143000,1291.025,871.0319999999999,12.2455,2.81098,0.6897549999999999,210141000,2284.375,1478.2685000000001,18.4678,1.3545850000000002,0.4593125000000001
2020-03-07,0,0,210143000,1444.355,972.922,14.4337,3.6353299999999997,0.8243499999999999,210140000,2615.39,1665.912,22.511900000000004,1.960435,0.6058499999999998
2020-03-08,0,0,210142000,1624.145,1088.28,16.8569,4.599775,0.9644450000000004,210139000,3023.275,1890.401,26.968339999999998,2.7303699999999997,0.7699349999999998
2020-03-09,0,0,210142000,1838.915,1225.9299999999998,19.4859,5.720330000000001,1.1205550000000004,210138000,3531.6800000000003,2163.499,31.943710000000003,3.691395,0.9610250000000002
2020-03-10,0,0,210141000,2103.415,1388.0900000000001,22.48705,7.006584999999999,1.2862549999999988,210136000,4164.81,2488.9449999999997,37.492349999999995,4.86221,1.1708150000000002
2020-03-11,0,0,210140000,2434.1800000000003,1589.8,25.894849999999998,8.502320000000001,1.4957350000000016,210134000,4960.3150000000005,2895.945,43.8644,6.2881350000000005,1.4259250000000003
2020-03-12,0,0,210138000,2856.875,1836.955,29.80365,10.222999999999999,1.720679999999998,210132000,5945.595,3410.9849999999997,51.21405,7.9721150000000005,1.68398
2020-03-13,0,0,210137000,3385.485,2141.3,34.3923,12.187249999999999,1.9642499999999998,210129000,7150.615,4043.3300000000004,59.715149999999994,9.98213,2.010014999999999
2020-03-14,0,0,210135000,4055.27,2530.63,39.6824,14.4736,2.2863500000000005,210125000,8641.885,4814.125,69.7817,12.34565,2.3635199999999994
2020-03-15,0,0,210133000,4884.145,3002.35,46.033100000000005,17.1276,2.6540000000000017,210121000,10446.54,5769.38,81.9978,15.13035,2.784700000000001
2020-03-16,0,0,210130000,5904.959999999999,3587.7,53.70715,20.21045,3.0828500000000005,210116000,12646.075,6953.395,96.5265,18.384050000000002,3.253700000000002
2020-03-17,1,1,210127000,7152.165,4305.610000000001,62.95115,23.8388,3.6283499999999975,210110000,15255.23,8381.675,114.36375,22.18625,3.802199999999999
2020-03-18,3,2,210123000,8678.619999999999,5206.33,74.17295,28.04045,4.201650000000001,210102000,18384.68,10100.064999999999,135.7252,26.75565,4.569399999999998
2020-03-19,7,4,210118000,10552.75,6292.455,87.96625,33.0756,5.035150000000002,210093000,22024.4,12186.88,161.65485,32.06195,5.306300000000004
2020-03-20,11,4,210112000,12786.95,7607.4349999999995,104.761,39.05885,5.983249999999998,210083000,26194.050000000003,14631.975,192.57545000000002,38.37155,6.309599999999996
2020-03-21,18,7,210105000,15461.95,9187.939999999999,125.07300000000001,46.1671,7.108249999999998,210071000,30929.5,17524.449999999997,229.99515,45.89155,7.520000000000003
2020-03-22,25,7,210097000,18644.25,11117.599999999999,149.93200000000002,54.696650000000005,8.529550000000008,210057000,36151.100000000006,20804.665,274.72235,54.78835,8.896799999999999
2020-03-23,34,9,210087000,22261.25,13390.650000000001,179.6775,64.9516,10.254949999999994,210041000,41792.2,24507.4,328.5559,65.49635,10.708000000000006
2020-03-24,47,13,210075000,26432.5,16043.05,215.79000000000002,77.19675000000001,12.24515000000001,210024000,47745.7,28596.75,391.6565,78.16765,12.671299999999988
2020-03-25,59,12,210061000,31228.45,19091.15,258.5765,91.7946,14.597849999999994,210005000,53545.05,33018.05,464.76399999999995,93.3517,15.18405
2020-03-26,77,18,210046000,36608.600000000006,22558.65,309.24649999999997,109.279,17.484399999999994,209984000,59337.35,37680.5,549.1655000000001,111.2085,17.856800000000007
2020-03-27,93,16,210028000,42300.3,26438.300000000003,368.01,130.1315,20.852499999999992,209962000,64885.9,42498.95,644.2144999999999,132.44400000000002,21.235500000000016
2020-03-28,115,22,210008000,48393.4,30649.9,435.6645,154.94150000000002,24.81000000000003,209938000,70045.35,47289.9,750.597,157.3945,24.950499999999977
2020-03-29,139,24,209987000,54531.850000000006,35221.95,512.7035,184.154,29.212499999999977,209914000,74658.34999999999,52039.100000000006,867.997,186.90449999999998,29.50999999999999
2020-03-30,166,27,209964000,60739.6,40016.85,600.6525,218.5125,34.35849999999999,209889000,78802.25,56650.25,995.8475000000001,221.65949999999998,34.754999999999995
2020-03-31,202,36,209939000,66718.3,44917,697.774,258.40999999999997,39.89749999999998,209863000,82556.6,60979.95,1133.44,262.0895,40.43000000000001
2020-04-01,244,42,209912000,72401.1,49832.05,805.8505,304.6755,46.26550000000003,209836000,86090.40000000001,64938.25,1278.605,308.587,46.4975
2020-04-02,305,61,209885000,77480.9,54628.4,921.876,357.794,53.11849999999998,209809000,89368.85,68565.5,1430.6115,361.487,52.900000000000034
2020-04-03,365,60,209857000,82078.29999999999,59239.95,1045.1399999999999,418.722,60.928,209780000,92711.6,71939.25,1586.3619999999999,421.7975,60.31049999999999
2020-04-04,445,80,209829000,86180.29999999999,63686.2,1175.35,487.4905,68.76850000000002,209751000,95945.9,75121.15000000001,1747.4894999999997,489.922,68.12450000000001
2020-04-05,496,51,209800000,90132.25,67765.75,1309.955,564.0855,76.59500000000003,209720000,99884.2,78431.15,1911.6315,566.6155,76.69349999999997
2020-04-06,569,73,209769000,94312.8,71602.05,1449.88,649.7145,85.62900000000002,209687000,104460.4,81674.75,2074.81,651.231,84.6155
2020-04-07,691,122,209738000,98126.7,75299.85,1593.455,743.4575,93.74299999999994,209654000,109163.4,85184.5,2237.256,744.6595,93.42849999999999
2020-04-08,826,135,209705000,102088,78944.1,1740.72,846.754,103.29650000000004,209617000,114719.55,88903.35,2405.3795,848.046,103.38650000000007
2020-04-09,959,133,209671000,106539.5,82535.95000000001,1891.36,958.539,111.78499999999997,209579000,121116.29999999999,93206.70000000001,2574.774,960.2305,112.18449999999996
2020-04-10,1073,114,209635000,111114.5,86458.1,2044.545,1080.045,121.50600000000009,209537000,128693.09999999999,97898.34999999999,2746.935,1081.51,121.27949999999998
2020-04-11,1141,68,209596000,116349,90407.54999999999,2199.875,1211.24,131.19499999999994,209492000,136911.55,103216.25,2924.7749999999996,1212.755,131.24500000000012
2020-04-12,1237,96,209556000,122344,94765.4,2359.68,1351.6599999999999,140.41999999999985,209444000,146389.75,109031.35,3111.3500000000004,1355.105,142.3499999999999
2020-04-13,1350,113,209513000,128951.5,99546.54999999999,2524.2799999999997,1502.16,150.50000000000023,209391000,156364.7,115598.75,3302.535,1507.275,152.17000000000007
2020-04-14,1557,207,209467000,136189,104672,2694.4,1662.1399999999999,159.9799999999998,209337000,166768.15,122773.5,3506.1200000000003,1669.93,162.65499999999997
2020-04-15,1760,203,209418000,144532.5,110365,2869.2250000000004,1834.1750000000002,172.0350000000003,209279000,177689.09999999998,130642.6,3719.3199999999997,1842.1100000000001,172.18000000000006
2020-04-16,1962,202,209365000,154096,116783,3053.58,2017.4,183.2249999999999,209218000,188951.45,139105,3943.625,2026.6100000000001,184.5
2020-04-17,2173,211,209309000,164355,124058.5,3245.755,2211.1949999999997,193.79499999999962,209153000,200890.6,148269.25,4187.62,2222.375,195.76499999999987
2020-04-18,2375,202,209248000,175682.5,131966,3453.385,2417.45,206.2550000000001,209086000,212669.25,158010.90000000002,4447.705,2431.545,209.17000000000007
2020-04-19,2491,116,209182500,188097,140508.5,3670.85,2637.16,219.71000000000004,209014000,224798.5,167741.85,4724.355,2653,221.45499999999993
2020-04-20,2598,107,209114000,200583,149777,3908.005,2870.825,233.66499999999996,208941000,236376.5,177621.8,5019.525,2890.0299999999997,237.02999999999975
2020-04-21,2772,174,209041000,213185.5,159257.5,4160.85,3117.38,246.5550000000003,208862000,247213.5,187687,5329.98,3141.9,251.87000000000035
2020-04-22,2940,168,208965000,225382.5,169119,4432.44,3382.755,265.375,208780000,258448,197704,5657.804999999999,3407.865,265.9649999999997
2020-04-23,3349,409,208887000,237237,179335.5,4721.61,3664.8999999999996,282.1449999999995,208696000,269527,207545.25,6003.07,3690.725,282.8600000000001
2020-04-24,3722,373,208805000,248723,189667,5020.4,3964.825,299.9250000000002,208606500,281096.5,217475.5,6355.63,3990.93,300.2049999999999
2020-04-25,4074,352,208719000,260382.5,199696,5335.51,4283.754999999999,318.9299999999994,208516000,293244,227364.5,6731.695,4310.965,320.0350000000003
2020-04-26,4301,227,208632000,271291.5,209532.5,5663.585,4621.525,337.77000000000044,208420500,305110,237721.5,7114.15,4649.805,338.84000000000015
2020-04-27,4606,305,208538000,283104.5,219601,6001.37,4983.005,361.4800000000005,208321000,318537,248172.5,7508.035000000001,5006.845,357.03999999999996
2020-04-28,5092,486,208443000,294497,229378.5,6351.07,5361.225,378.22000000000025,208220000,330667.5,258842,7918.08,5387.215,380.3699999999999
2020-04-29,5534,442,208343500,307553.5,239725.5,6710.135,5764.860000000001,403.6350000000002,208114000,342955.5,269640,8339.89,5787.785,400.5699999999997
2020-04-30,5980,446,208238000,320921.5,250183.5,7078.805,6192.09,427.22999999999956,208006000,354673,280692.5,8767.039999999999,6209.37,421.58500000000004
2020-05-01,6438,458,208132000,334937.5,261431.5,7458.46,6641.51,449.4200000000001,207896500,365311.5,291428,9211.25,6658.2,448.8299999999999
2020-05-02,6810,372,208021000,348734,272691,7848.135,7111.700000000001,470.1900000000005,207786000,374778,301316,9659.82,7131.305,473.1050000000005
2020-05-03,7073,263,207905000,361727,283743.5,8256.165,7611.07,499.369999999999,207670000,383187.5,310901.5,10111.990000000002,7628.835,497.52999999999975
2020-05-04,7381,308,207788000,374998.5,295315,8676.255000000001,8133.445,522.375,207554000,389987.5,319969,10588.045,8148.875,520.04
2020-05-05,7972,591,207665000,386526,306466.5,9104.85,8680.45,547.005000000001,207441500,395479.5,328201,11061.634999999998,8701.93,553.0550000000003
2020-05-06,8597,625,207542000,396859.5,316807,9545.21,9258.07,577.619999999999,207325500,400404.5,334764.5,11542.130000000001,9277.525,575.5949999999993
2020-05-07,9273,676,207420000,406719.5,326814.5,9993.365,9862.869999999999,604.7999999999993,207208000,403569,341122.5,12006.41,9877.405,599.880000000001
2020-05-08,10027,754,207292000,415691.5,335881.5,10443.45,10492.7,629.8300000000017,207090000,405267.5,345860.5,12470.235,10507.3,629.8949999999986
2020-05-09,10695,668,207166000,423167.5,344472.5,10897.9,11150.9,658.1999999999989,206973000,405419.5,349384,12916.73,11169.45,662.1500000000015
2020-05-10,11172,477,207039000,429151.5,351724,11341.3,11833.8,682.8999999999996,206858000,405023.5,351565,13358.045,11851.8,682.3499999999985
2020-05-11,11659,487,206912000,432685,358925,11780.15,12547.45,713.6500000000015,206744000,402625.5,352668.5,13776.57,12562.5,710.7000000000007
2020-05-12,12503,844,206785500,436507,364688.5,12210.599999999999,13282.2,734.75,206636000,398824,352753,14170.99,13302.9,740.3999999999996
2020-05-13,13281,778,206661000,437752,369135,12632,14043.85,761.6499999999996,206528000,395518,352392.5,14544.64,14071.55,768.6499999999996
2020-05-14,14070,789,206535000,436813.5,372056,13033.650000000001,14835.05,791.1999999999989,206420500,390778.5,350619.5,14889.285,14862.8,791.25
2020-05-15,14983,913,206414000,436170.5,373585.5,13413.65,15650.05,815,206315000,386340.5,348641.5,15209.269999999999,15678.3,815.5
2020-05-16,15702,719,206294000,433103,373919.5,13781.3,16489.5,839.4500000000007,206209000,382298.5,346037,15500.785,16514.25,835.9500000000007
2020-05-17,16201,499,206180000,429044.5,373333,14123.35,17354.5,865,206106000,376703,342627,15755.87,17376.85,862.5999999999985
2020-05-18,16925,724,206062000,423610.5,371910,14454.55,18239.1,884.5999999999985,206001000,371682,339119,15983.810000000001,18258.699999999997,881.8499999999985
2020-05-19,18073,1148,205949500,417925,369750.5,14753.35,19136.3,897.2000000000007,205900500,367266,335216,16169.09,19159.15,900.4500000000044
2020-05-20,19058,985,205839000,412038.5,366153,15024.45,20060,923.7000000000007,205798000,363699,331618,16336.23,20077.15,918
2020-05-21,20109,1051,205730000,407257.5,362234.5,15266.9,20996.15,936.1500000000015,205697000,360671,327919.5,16472.085,21011.05,933.8999999999978
2020-05-22,21148,1039,205621500,400678,358040.5,15473.25,21947,950.8499999999985,205598000,358059.5,325065.5,16588.754999999997,21967.75,956.7000000000007
2020-05-23,22196,1048,205518000,394931,353749.5,15660.8,22907.05,960.0499999999993,205497500,356143.5,321727.5,16683.605,22937.199999999997,969.4499999999971
2020-05-24,22863,667,205412000,389925.5,349746,15827.95,23877,969.9500000000007,205398000,354118.5,318975,16757.675,23907.8,970.6000000000022
2020-05-25,23590,727,205308000,385036.5,345610.5,15971.75,24857.35,980.3499999999985,205298000,352725,316583,16794.32,24892.1,984.2999999999993
2020-05-26,24642,1052,205205000,381327,341275.5,16099.1,25849.2,991.8500000000022,205197000,351719,314883,16823.89,25886.75,994.6500000000015
2020-05-27,25705,1063,205100500,377422,336957.5,16202.5,26848.699999999997,999.4999999999964,205098000,350704,313442,16844.755,26888.35,1001.5999999999985
2020-05-28,26895,1190,205001000,374451.5,332714,16282.4,27849.55,1000.8500000000022,204999500,350818,312014,16856.059999999998,27893.3,1004.9500000000007
2020-05-29,28032,1137,204900000,371432,329683.5,16343.6,28855.300000000003,1005.7500000000036,204898000,351612.5,311240,16849.625,28901.2,1007.9000000000015
2020-05-30,28895,863,204799000,368929.5,326674.5,16400.3,29865.2,1009.8999999999978,204798000,352028.5,310557.5,16844.77,29921.1,1019.8999999999978
2020-05-31,29367,472,204700000,366747.5,324578,16437.25,30882.75,1017.5499999999993,204698000,353148,310828.5,16833.045,30933.5,1012.4000000000015
2020-06-01,30105,738,204597500,365065,322155,16485.75,31902.85,1020.0999999999985,204598500,353970,310910.5,16821.275,31951.800000000003,1018.3000000000029
2020-06-02,31473,1368,204501500,364158.5,320427,16520.699999999997,32917.4,1014.5500000000029,204496000,355414,311555.5,16794.195,32972.4,1020.5999999999985
2020-06-03,32667,1194,204398000,363312.5,319128.5,16549.5,33935.149999999994,1017.7499999999927,204395000,357202.5,312497,16768.23,33995.649999999994,1023.2499999999927
2020-06-04,34152,1485,204294500,362648,317505.5,16562.4,34955.1,1019.9500000000044,204288000,358852.5,313329,16757.195,35010.85,1015.2000000000044
2020-06-05,35253,1101,204196500,362510,316781,16573.4,35976.5,1021.4000000000015,204186000,359889.5,314175,16748.550000000003,36036.9,1026.050000000003
2020-06-06,36054,801,204093000,362959.5,316085.5,16577.1,37000.5,1024,204085000,361227.5,315419,16740.07,37060.8,1023.9000000000015
2020-06-07,36530,476,203992500,364375,315915,16581.800000000003,38015.600000000006,1015.1000000000058,203982000,362434.5,316135.5,16734.870000000003,38083.8,1023
2020-06-08,37393,863,203886500,364716,316011,16580.75,39034.75,1019.1499999999942,203880000,363716,317092.5,16730.15,39104.15,1020.3499999999985
2020-06-09,38586,1193,203783000,365979.5,316229.5,16585.8,40063.05,1028.300000000003,203778000,364890.5,317939.5,16741.34,40125.3,1021.1500000000015
2020-06-10,39824,1238,203674000,367043.5,316969,16582.25,41092.3,1029.25,203673000,365027.5,319319.5,16739.574999999997,41149.25,1023.9499999999971
2020-06-11,41092,1268,203570000,368150,317227,16592.699999999997,42115.100000000006,1022.8000000000029,203569000,365452.5,319963.5,16747.795,42174.1,1024.8499999999985
2020-06-12,41935,843,203466500,369591.5,317463.5,16589.300000000003,43146.45,1031.3499999999913,203466000,365811,320243,16749.285,43195.55,1021.4500000000044
2020-06-13,42792,857,203362000,370129.5,318251,16599.25,44167.95,1021.5,203361000,366462.5,320618.5,16769.36,44218,1022.4499999999971
2020-06-14,43426,634,203261500,370309.5,318469.5,16605.65,45195.3,1027.3500000000058,203258000,366931,321374.5,16782.805,45243.399999999994,1025.3999999999942
2020-06-15,44190,764,203154500,369691,318935.5,16615.85,46210.2,1014.8999999999942,203152000,367753.5,321914.5,16801.879999999997,46270.649999999994,1027.25
2020-06-16,45522,1332,203049000,369942.5,318954,16626.65,47243.2,1033,203049000,368902,322576,16818.434999999998,47289.149999999994,1018.5
2020-06-17,46707,1185,202946500,369487.5,319211,16636.75,48264.25,1021.0500000000029,202941500,369855.5,322905,16840.375,48314.1,1024.9500000000044
2020-06-18,47946,1239,202840000,368996.5,319916.5,16649.75,49290.85,1026.5999999999985,202835000,371355.5,323544,16851.96,49338.55,1024.4500000000044
2020-06-19,49118,1172,202735500,369420.5,320113,16654.75,50322.55,1031.7000000000044,202732000,372202,324367.5,16871.765,50367.1,1028.5499999999956
2020-06-20,50100,982,202633000,370639,319992.5,16662.15,51345.05,1022.5,202626000,373753.5,325222,16891.14,51388.600000000006,1021.5000000000073
2020-06-21,50709,609,202523000,371295.5,321021.5,16649.65,52379.5,1034.449999999997,202512000,375444,326353,16915.73,52419.55,1030.949999999997
2020-06-22,51444,735,202418000,372358,321606,16659.55,53410.45,1030.949999999997,202406000,376092,327330.5,16939.085,53437.100000000006,1017.5500000000029
2020-06-23,52851,1407,202307000,373821.5,322417,16672.6,54445.5,1035.050000000003,202298000,377616.5,328314,16965.235,54467.6,1030.4999999999927
2020-06-24,53955,1104,202202000,376131,323650.5,16679.8,55476.5,1031,202189000,379507.5,329985,17009.94,55500.350000000006,1032.7500000000073
2020-06-25,55135,1180,202095000,377623,324288,16697.35,56512.1,1035.5999999999985,202077500,381072.5,331296,17042.945,56528.45,1028.0999999999913
2020-06-26,56128,993,201979000,379005.5,325942.5,16712.7,57547.45,1035.3499999999985,201971000,382492,333229,17075.760000000002,57551.95,1023.5
2020-06-27,57159,1031,201866500,379942,326945,16745.05,58584.2,1036.75,201862000,383559.5,334595.5,17105.385000000002,58583.1,1031.1500000000015
2020-06-28,57742,583,201757000,381399,327912.5,16766.05,59630.149999999994,1045.949999999997,201754000,384304.5,335776.5,17144.575,59631.7,1048.5999999999985
2020-06-29,58473,731,201647500,384163.5,329735.5,16788.1,60665.4,1035.2500000000073,201647000,384978,336710.5,17190.49,60669.4,1037.7000000000044
2020-06-30,59791,1318,201538500,386214.5,330651.5,16818.25,61703.399999999994,1037.9999999999927,201537500,385857,337495,17238.559999999998,61702.850000000006,1033.4500000000044
2020-07-01,60877,1086,201430000,387929,331810,16864.300000000003,62743.2,1039.800000000003,201428500,386048.5,337925.5,17280.16,62752.7,1049.8499999999913
2020-07-02,62136,1259,201323000,389859.5,333078.5,16914.449999999997,63791.6,1048.4000000000015,201317000,385445.5,338265.5,17327.04,63796.6,1043.9000000000015
2020-07-03,63349,1213,201211500,390926,334421.5,16974.55,64841.45,1049.8499999999985,201208500,384846,338604,17375.989999999998,64837.4,1040.800000000003
2020-07-04,64410,1061,201096000,391731.5,336068,17021.45,65887.7,1046.25,201100500,383631.5,338653,17420.91,65886.8,1049.4000000000015
2020-07-05,64965,555,200982500,391750,337016.5,17065.1,66946.85,1059.1500000000087,200990000,382041.5,337855.5,17457.440000000002,66948.7,1061.8999999999942
2020-07-06,65651,686,200872500,391662.5,337862.5,17108.2,67998.55,1051.699999999997,200881000,380698.5,337031.5,17494.125,68011.15,1062.449999999997
2020-07-07,66952,1301,200761000,392166.5,338046.5,17156.449999999997,69054.25,1055.699999999997,200773500,378386,335744.5,17526.295000000002,69061.85,1050.7000000000116
2020-07-08,68126,1174,200649000,391854.5,338304,17189.4,70116.9,1062.6499999999942,200665000,376117,334684,17557.725,70109.75,1047.8999999999942
2020-07-09,69347,1221,200537500,391196,338257.5,17213.45,71187.65,1070.75,200560500,373762,333305,17582.305,71166.45,1056.699999999997
2020-07-10,70646,1299,200430000,389798.5,337694,17251.3,72243.2,1055.550000000003,200461500,371012.5,331763,17587.86,72229.3,1062.8500000000058
2020-07-11,71578,932,200321000,387801,336800,17270.2,73303.1,1059.9000000000087,200355500,368168.5,329911,17609.17,73300.65,1071.3499999999913
